tarikh, nama_aktiviti
2023-02-15, "Orientasi Murid Tahun 1"
2023-04-21, "Kejohanan Sukan Olahraga"
2023-03-10, "Hari Anugerah Cemerlang tahun lepas"
2023-05-05, "Program Pusat Sumber Sekolah (PSS)"
2023-01-30, "Senamrobik bersama pengerusi PIBG"
2023-06-18, "Kursus Kepimpinan Untuk Semua Pengawas Sekolah"
2023-07-12, "Perkhemahan Peringkat Sekolah"
2023-08-03, "Program Gilap Sinar"
2023-09-22, "Latih Tubi Intensif Untuk Pelajar PT3 dan SPM"
2023-10-08, "Kelas Bimbingan dan Kaunseling"
2023-11-14, "Sediakan Kerja Cuti Terancang"
2023-12-20, "Program Pembimbing Rakan Sebaya"
2023-01-12, "Program Pasca PT3"
2023-02-12, "Kem Membaca 1 Malaysia"
2023-03-12, "Larian Kecergasan unit Beruniform"
2023-04-12, "Program Gerak Bestari"
2023-05-12, "Program Minda Segar"
2023-06-12, "Teknik Menjawab PMR Dan SPM"
2023-07-12, "Penyertaan Pancaragam Ceramah bersama Pakar Motivasi"
2023-08-12, "Senam Seni 1 Malaysia"
2023-09-12, "Kursus Pemantapan Sahsiah Dan Penajaan Petrosains"
2023-10-12, "Kelas Bimbingan Terancang SPM"
2023-11-12, "Program Pasca SPM"
2023-12-12, "Darurat SPM"
2023-01-17, "Kelas Tutorial Subjek Teras"
2023-02-10, "Bengkel Menjajawab Peperiksaan"
2023-03-08, "Jalinan, Jaringan Dan Pengantarabangsaan"
2023-04-06, "Laman Web PIBG"
2023-05-04, "Meraikan Kejayaan Pelajar Cemerlang PMR Dan Semua Guru"
2023-06-02, "Taman PIBG"
2023-07-31, "Cerna Minda"
2023-08-29, "Pertandingan Bowling Peringkat Negeri"
2023-09-27, "Gotong Royong Perdana"
2023-10-25, "Teknik Menjawab PT3 Dan SPM"
2023-11-23, "Resepi Cemerlang PT3"
2023-11-05, "Pertandingan Mural"
2023-12-10, "Pertandingan Mencipta Mercu Tanda Sekolah"
2023-10-25, "Pertandingan SEM Antarabangsa"
2023-11-30, "Persembahan Aeronautic"
2023-12-15, "Perkhemahan Unit Beruniform"
2023-11-20, "Pertandingan Perbarisan Wakil Sekolah"
2023-12-05, "Rapat Umum Bersama Ibu Bapa dan Guru"
2023-10-18, "Lawatan Sambil Belajar"
2023-12-01, "Lawatan Kelas Untuk Pelajar Tingkatan 5"
2023-11-08, "Majlis Solat Hajat"
2023-12-24, "Majlis Khatam Al-Quran"
2023-10-30, "Ceramah Sahsiah Dan Pembangunan Remaja"
2023-12-12, "Penghayatan Besarnya Pengorbanan Ibu bapa"
2023-11-28, "Majlis Persaraan Pengetua"
2023-12-31, "Majlis Sambutan Hari Raya Sekolah"
2023-11-15, "Majlis Sambutan Maulidur Rasul"
